data,class
yes,yes
okay I will,yes
why not,yes
yes that's alright,yes
yes I do,yes
exactly,yes
of course,yes
yep that's ok,yes
okay,yes
ok,yes
for sure,yes
sg,yes
yes that't ok,yes
I agree,yes
yes you can do it,yes
I don't mind,yes
that one works,yes
that works,yes
sure why not,yes
perfect,yes
yep that's right,yes
I think so,yes
yes I agree,yes
sure,yes
sounds correct,yes
sounds good,yes
that's correct,yes
go ahead,yes
do it,yes
it's fine,yes
yeah,yes
yes please,yes
it's okay,yes
alright why not,yes
alright,yes
right,yes
it looks perfect,yes
yes I can,yes
yup,yes
yep,yes
confirm,yes
absolutely,yes
thanks but no,no
no way,no
no,no
no no don't,no
na,no
no it isn't,no
don't,no
nah I'm good,no
no I cannot,no
I can't,no
nothing,no
no that's okay,no
no not really,no
nope not really,no
nope,no
thanks but not this time,no
I don't think so,no
I disagree,no
no maybe next time,no
not this time,no
no don't,no
no we are good,no
don't do it,no
no that's be all,no
not right now,no
nothing else thanks,no
no thanks,no
no that's ok,no
I don't want that,no
definitely not,no
nothing else,no
not,no
not at all,no
no never,no
never,no
no way no,no
not really,no
nah,no
I don't,no
I don't want,no
not ,no
not interested,no
no that's fine thank you,no
I'm not,no
just going to say hi,hi
heya,hi
hello hi,hi
howdy,hi
hey there,hi
hi there,hi
greetings,hi
hey,hi
long time no see,hi
hello,hi
lovely day isn't it,hi
I greet you,hi
hello again,hi
hi,hi
hello there,hi
hi there,hi
a good day,hi
